"PVWatts Hourly PV Performance Data"
"Requested Location","India"
"Solar Resource Data Location","NSRDB Lat/Lng: 28.65, 77.25"
"Latitude (degrees)", 28.65
"Longitude (degrees)", 77.25
"Elevation (m)","0"
"DC System Size (kW)","1"
"Module Type","Standard"
"Array Type","Fixed (open rack)"
"Array Tilt (deg)","20"
"Array Azimuth (deg)","180"
"System Losses (%)","14.08"
"DC to AC Size Ratio","1.2"
"Inverter Efficiency (%)","96"
"Ground Coverage Ratio","NA"
"Albedo","From weather file"
"Bifacial","No (0)"
"Monthly Irradiance Loss (%)",""
"","Jan","0"
"","Feb","0"
"","Mar","0"
"","Apr","0"
"","May","0"
"","June","0"
"","July","0"
"","Aug","0"
"","Sept","0"
"","Oct","0"
"","Nov","0"
"","Dec","0"

"Month","Day","Hour","Beam Irradiance (W/m2)","Diffuse Irradiance (W/m2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"4","14","16","406","202","36.124","2","0.2","343.392","44.451","264.537","251.2"
"4","14","17","144","128","32.668","2","0.2","129.723","35.758","93.826","86.538"
"4","14","18","0","3","29.41","2","0.2","2.854","29.468","1.148","0"
"4","14","19","0","0","28.251","2","0.2","0","28.251","0","0"
"4","14","20","0","0","27.308","2","0.2","0","27.308","0","0"
"4","14","21","0","0","26.419","2","0.2","0","26.419","0","0"
"4","14","22","0","0","25.567","2","0.2","0","25.567","0","0"
"4","14","23","0","0","24.794","2","0.2","0","24.794","0","0"
"4","15","0","0","0","24.055","2","0.2","0","24.055","0","0"
"4","15","1","0","0","23.317","2","0.2","0","23.317","0","0"
"4","15","2","0","0","22.515","2","0.2","0","22.515","0","0"
"4","15","3","0","0","21.738","2","0.2","0","21.738","0","0"
"4","15","4","0","0","21.031","2","0.2","0","21.031","0","0"
"4","15","5","0","0","20.709","2","0.2","0","0","0","0"
"4","15","6","2","38","23.62","1","0.2","35.702","24.709","27.617","22.675"
"4","15","7","222","158","28.337","0","0.2","250.913","38.589","198.905","187.893"
"4","15","8","437","223","33.521","0","0.2","511.123","54.416","386.601","368.938"
"4","15","9","530","275","38.347","0","0.2","720.603","67.737","511.059","488.987"
"4","15","10","601","306","40.599","0","0.2","886.31","76.697","599.624","574.413"
"4","15","11","676","296","41.766","1","0.2","988.933","71.832","682.87","654.709"
"4","15","12","674","305","42.131","1","0.2","988.464","72.185","681.568","653.454"
"4","15","13","670","295","41.967","1","0.2","920.497","69.979","643.854","617.076"
"4","15","14","616","284","41.153","1","0.2","770.213","64.63","555.753","532.097"
"4","15","15","507","254","39.635","1","0.2","553.824","56.557","416.916","398.18"
"4","15","16","331","235","37.612","1","0.2","346.508","48.156","263.623","250.318"
"4","15","17","0","52","33.819","0","0.2","47.962","35.77","35.211","30"
"4","15","18","0","2","30.626","0","0.2","1.903","30.691","0.74","0"
"4","15","19","0","0","29.422","0","0.2","0","29.422","0","0"
"4","15","20","0","0","28.426","1","0.2","0","28.426","0","0"
"4","15","21","0","0","27.435","1","0.2","0","27.435","0","0"
"4","15","22","0","0","26.492","1","0.2","0","26.492","0","0"
"4","15","23","0","0","25.575","1","0.2","0","25.575","0","0"
"4","16","0","0","0","24.664","1","0.2","0","24.664","0","0"
"4","16","1","0","0","23.811","1","0.2","0","23.811","0","0"
"4","16","2","0","0","22.994","1","0.2","0","22.994","0","0"
"4","16","3","0","0","22.3","1","0.2","0","22.3","0","0"
"4","16","4","0","0","22.205","1","0.2","0","22.205","0","0"
"4","16","5","0","0","22.269","2","0.2","0","0","0","0"
"4","16","6","0","21","24.624","2","0.2","19.492","25.098","14.657","10.174"
"4","16","7","124","157","28.441","2","0.2","204.961","33.43","164.925","155.118"
"4","16","8","319","263","32.886","2","0.2","468.769","44.29","368.499","351.478"
"4","16","9","491","289","37.207","3","0.2","702.211","51.391","534.836","511.921"
"4","16","10","604","305","39.759","3","0.2","887.972","57.674","655.194","628.014"
"4","16","11","678","295","41.134","3","0.2","989.553","61.091","717.33","687.949"
"4","16","12","686","302","41.726","3","0.2","996.855","61.833","720.407","690.916"
"4","16","13","660","302","41.495","2","0.2","917.279","63.758","659.845","632.501"
"4","16","14","539","327","40.656","2","0.2","751.055","58.907","554.94","531.312"
"4","16","15","336","322","39.31","2","0.2","514.731","51.84","393.388","375.485"
"4","16","16","101","236","37.362","2","0.2","259.467","43.674","201.12","190.03"
"4","16","17","136","129","34.284","2","0.2","128.989","37.36","93.053","85.792"
"4","16","18","0","4","31.183","1","0.2","3.805","31.28","1.54","0"
"4","16","19","0","0","30.02","1","0.2","0","30.02","0","0"
"4","16","20","0","0","28.929","2","0.2","0","28.929","0","0"
"4","16","21","0","0","27.777","3","0.2","0","27.777","0","0"
"4","16","22","0","0","26.662","3","0.2","0","26.662","0","0"
"4","16","23","0","0","25.63","3","0.2","0","25.63","0","0"
"4","17","0","0","0","24.67","3","0.2","0","24.67","0","0"
"4","17","1","0","0","23.767","3","0.2","0","23.767","0","0"
"4","17","2","0","0","22.932","3","0.2","0","22.932","0","0"
"4","17","3","0","0","22.238","3","0.2","0","22.238","0","0"
"4","17","4","0","0","21.831","3","0.2","0","21.831","0","0"
"4","17","5","0","0","21.701","3","0.2","0","0","0","0"
"4","17","6","6","44","23.729","3","0.2","42.082","24.58","32.721","27.598"
"4","17","7","30","146","27.049","2","0.2","151.074","30.726","121.57","113.299"
"4","17","8","137","279","32.4","2","0.2","361.241","41.176","284.424","270.383"
"4","17","9","282","359","37.224","2","0.2","592.725","51.599","448.172","428.328"
"4","17","10","500","384","39.69","1","0.2","867.221","66.046","614.987","589.232"
"4","17","11","53","341","41.002","1","0.2","385.091","52.661","282.853","268.866"
"4","17","12","241","435","41.523","1","0.2","680.641","62.167","487.537","466.298"
"4","17","13","84","428","41.324","1","0.2","494.177","56.305","360.996","344.241"
"4","17","14","18","322","40.26","1","0.2","318.878","49.938","237.741","225.353"
"4","17","15","2","174","38.525","2","0.2","164.202","42.511","124.706","116.324"
"4","17","16","0","86","36.298","2","0.2","80.097","38.25","60.871","54.751"
"4","17","17","99","141","33.539","2","0.2","133.221","36.733","98.28","90.834"
"4","17","18","0","3","30.577","3","0.2","2.854","30.625","1.139","0"
"4","17","19","0","0","29.427","3","0.2","0","29.427","0","0"
"4","17","20","0","0","28.543","3","0.2","0","28.543","0","0"
"4","17","21","0","0","27.769","2","0.2","0","27.769","0","0"
"4","17","22","0","0","27.228","2","0.2","0","27.228","0","0"
"4","17","23","0","0","26.621","2","0.2","0","26.621","0","0"
"4","18","0","0","0","25.957","2","0.2","0","25.957","0","0"
"4","18","1","0","0","25.377","2","0.2","0","25.377","0","0"
"4","18","2","0","0","24.857","2","0.2","0","24.857","0","0"
"4","18","3","0","0","24.424","3","0.2","0","24.424","0","0"
"4","18","4","0","0","24.175","3","0.2","0","24.175","0","0"
"4","18","5","0","0","24.161","3","0.2","0","0","0","0"
"4","18","6","10","46","25.816","3","0.2","44.743","26.719","34.428","29.244"
"4","18","7","211","167","28.151","2","0.2","255.165","34.361","206.023","194.759"
"4","18","8","452","223","31.301","2","0.2","521.513","43.998","412.392","393.816"
"4","18","9","567","265","35.366","2","0.2","741.405","53.378","560.619","536.791"
"4","18","10","647","281","37.614","1","0.2","905.56","65.16","646.651","619.774"
"4","18","11","679","299","39.123","1","0.2","993.514","69.325","693.77","665.224"
"4","18","12","686","304","39.708","1","0.2","997.494","70.034","694.493","665.921"
"4","18","13","671","295","39.521","1","0.2","919.255","67.493","650.211","623.208"
"4","18","14","620","282","38.685","1","0.2","769.23","62.131","561.195","537.346"
"4","18","15","537","254","37.228","2","0.2","569.696","51.113","439.324","419.794"
"4","18","16","411","204","35.329","2","0.2","345.233","43.699","266.604","253.194"
"4","18","17","157","132","32.76","2","0.2","133.271","35.934","96.365","88.986"
"4","18","18","0","8","29.696","1","0.2","7.61","29.891","3.236","0"
"4","18","19","0","0","28.654","1","0.2","0","28.654","0","0"
"4","18","20","0","0","27.704","0","0.2","0","27.704","0","0"
"4","18","21","0","0","26.816","0","0.2","0","26.816","0","0"
"4","18","22","0","0","25.942","1","0.2","0","25.942","0","0"
"4","18","23","0","0","25.124","2","0.2","0","25.124","0","0"
"4","19","0","0","0","24.309","2","0.2","0","24.309","0","0"
"4","19","1","0","0","23.486","3","0.2","0","23.486","0","0"
